,City,State,Region,Size,Population,AvgRent,MedianRent,UnempRate,AvgIncome,CostOfLiving,PriceParity,CommuteTime,MedianAQI,WalkScore,BikeScore,TransitScore,Latitude,Longitude
131,Peoria,Illinois,Midwest,Mid-Sized,402391.0,1107,755.0,4.2,55784.0,86.7,90.49,20.3,42.0,,,1.7,40.752,-89.6154
132,Canton,Ohio,Midwest,Mid-Sized,401574.0,979,685.0,3.9,52152.0,88.2,90.02,22.5,44.0,,,2.4,40.8078,-81.3676
133,Anchorage,Alaska,West,Mid-Sized,398328.0,1546,1096.0,3.5,67085.0,110.7,106.27,20.8,23.0,30.9,51.8,2.9,61.1508,-149.1091
134,Beaumont,Texas,South,Mid-Sized,397565.0,1331,898.0,6.3,49006.0,88.6,93.31,22.6,44.0,,,1.4,30.0849,-94.1451
135,Shreveport,Louisiana,South,Mid-Sized,393406.0,1076,939.0,3.4,55198.0,85.8,90.32,21.1,44.0,,,1.8,32.4653,-93.7955
136,Trenton,New Jersey,Northeast,Mid-Sized,387340.0,2042,1439.0,2.5,77911.0,104.3,101.89,28.7,42.0,,,4.6,40.2237,-74.7641
137,Montgomery,Alabama,South,Mid-Sized,386047.0,1153,882.0,2.5,49310.0,88.5,88.56,23.5,42.0,25.8,32.9,1.3,32.3482,-86.2668
138,Davenport,Iowa,Midwest,Mid-Sized,384324.0,882,778.0,3.7,56181.0,87.2,91.36,19.6,42.0,,,3.0,41.5565,-90.6053
139,Tallahassee,Florida,South,Mid-Sized,384298.0,1360,1086.0,2.2,52279.0,96.4,94.97,22.6,43.0,,,2.6,30.4551,-84.2527
140,Eugene,Oregon,West,Mid-Sized,382971.0,1907,1083.0,4.9,55146.0,108.4,100.61,20.6,43.0,,,4.2,44.0564,-123.1174
141,Ocala,Florida,South,Mid-Sized,375908.0,1602,983.0,2.8,45152.0,94.5,93.96,25.0,42.0,,,0.7,29.178,-82.1511
142,Naples,Florida,South,Mid-Sized,375752.0,3346,1577.0,2.2,117984.0,109.4,102.19,24.5,38.0,,,1.9,26.1504,-81.7936
143,Ann Arbor,Michigan,Midwest,Mid-Sized,372258.0,2693,1244.0,3.0,68688.0,99.3,99.75,24.2,40.0,,,4.8,42.2759,-83.731
144,Hickory,North Carolina,South,Mid-Sized,365276.0,1435,692.0,2.9,48529.0,89.8,89.25,22.6,42.0,,,0.4,35.741,-81.3223
145,Huntington,West Virginia,South,Mid-Sized,359862.0,916,755.0,3.8,47505.0,84.3,88.54,23.3,41.0,,,1.3,38.4109,-82.4345
146,Fort Collins,Colorado,West,Mid-Sized,359066.0,1794,1332.0,2.4,64258.0,109.2,97.98,22.9,51.0,,,3.0,40.5477,-105.0656
147,Lincoln,Nebraska,Midwest,Mid-Sized,340217.0,1177,828.0,2.1,56887.0,94.7,93.05,19.4,37.0,44.1,58.5,3.2,40.8099,-96.6784
148,Gainesville,Florida,South,Mid-Sized,339247.0,1630,1007.0,2.0,50623.0,97.3,95.91,23.2,40.0,,,4.0,29.6804,-82.3459
149,Rockford,Illinois,Midwest,Mid-Sized,338798.0,890,758.0,5.4,51140.0,87.2,93.42,23.2,39.0,,,2.1,42.2596,-89.064
150,Boulder,Colorado,West,Mid-Sized,330758.0,2492,1712.0,2.2,89593.0,118.7,101.32,22.1,48.0,,,5.1,40.0248,-105.2524
151,Greeley,Colorado,West,Mid-Sized,328981.0,1405,1162.0,3.0,56553.0,106.1,95.55,27.5,51.0,,,1.4,40.4152,-104.7706
152,Columbus,Georgia,South,Mid-Sized,328883.0,1150,884.0,3.3,47349.0,88.5,88.99,22.2,42.0,,,1.6,32.51,-84.8771
153,Green Bay,Wisconsin,Midwest,Mid-Sized,328268.0,911,804.0,2.1,58240.0,91.4,92.36,20.7,38.0,,,2.1,44.5148,-87.9895
154,Spartanburg,South Carolina,South,Mid-Sized,327997.0,1227,922.0,2.9,50596.0,91.0,92.67,23.5,43.0,,,0.6,34.9442,-81.9251
155,South Bend,Indiana,Midwest,Mid-Sized,324501.0,1259,995.0,3.1,56109.0,87.2,91.87,22.6,43.0,,,2.5,41.6767,-86.2696
156,Lubbock,Texas,South,Mid-Sized,321368.0,1306,889.0,2.9,51045.0,88.8,93.95,17.3,22.0,39.0,42.5,2.5,33.5657,-101.8879
157,Clarksville,Tennessee,South,Mid-Sized,320535.0,1385,807.0,3.6,47519.0,88.7,90.56,24.0,43.0,,,0.7,36.5692,-87.3413
158,Roanoke,Virginia,South,Mid-Sized,315251.0,1268,854.0,2.6,53939.0,94.1,93.79,25.9,37.0,,,2.0,37.2785,-79.9581
159,Evansville,Indiana,Midwest,Mid-Sized,314049.0,842,825.0,2.3,56650.0,87.2,90.29,21.8,44.0,,,1.9,37.9881,-87.5341
160,Kingsport,Tennessee,South,Mid-Sized,307614.0,1238,663.0,3.1,47287.0,86.0,85.88,23.0,40.0,,,0.7,36.5224,-82.5454
161,Kennewick,Washington,West,Mid-Sized,303622.0,1662,1012.0,6.2,52082.0,99.7,100.51,22.3,34.0,,,3.9,46.1978,-119.1732
162,Olympia,Washington,West,Mid-Sized,294793.0,1881,1329.0,4.7,61062.0,110.9,103.59,24.6,22.0,,,3.0,47.0417,-122.8959
163,Hagerstown,Maryland,Northeast,Mid-Sized,293844.0,1389,866.0,2.9,51102.0,99.7,95.25,30.7,40.0,,,1.0,39.6401,-77.7217
164,Utica,New York,Northeast,Mid-Sized,292264.0,1450,811.0,3.3,52919.0,94.1,92.77,20.3,18.0,,,2.0,43.0962,-75.2261
165,Duluth,Minnesota,Midwest,Mid-Sized,291638.0,1607,899.0,3.6,53734.0,93.2,88.83,20.2,37.0,,,2.1,46.7756,-92.1393
166,Crestview,Florida,South,Mid-Sized,286973.0,1829,1220.0,1.9,64660.0,104.7,96.9,24.1,39.0,,,0.9,30.7477,-86.5785
167,Longview,Texas,South,Mid-Sized,286184.0,1286,901.0,4.0,48868.0,88.5,92.74,,37.0,,,0.9,32.5193,-94.7622
168,San Luis Obispo,California,West,Mid-Sized,282424.0,2904,1688.0,2.4,66617.0,136.1,108.56,23.1,55.0,,,2.6,35.2669,-120.669
169,Merced,California,West,Mid-Sized,281202.0,1830,1093.0,7.4,46580.0,108.2,100.3,27.8,53.0,,,2.4,37.3057,-120.4779
170,Waco,Texas,South,Mid-Sized,277547.0,1538,840.0,3.2,49151.0,89.5,94.69,20.1,42.0,,,1.7,31.5599,-97.1882
171,Sioux Falls,South Dakota,Midwest,Mid-Sized,276730.0,1161,837.0,2.0,71570.0,92.8,93.04,18.2,37.0,,,2.0,43.5396,-96.7311
